
# Tracedb_laser BEGIN
# db8xxHeader BEGIN
# Tracedb_Logowanie - Begin
0.0        operator.login                                                 STRING[8]  # set by PLC
10.0       operator.password                                              STRING[16] # set by PLC
28.0       operator.res_r1                                                REAL       # reserve
32.0       operator.res_r2                                                REAL       # reserve
36.0       operator.operator_status                                       INT        # PC: 0 - not defined, 1 - logged in, 2 - logged out, 3 - blocked, 4 - wrong password
38.0       operator.operator_do_login                                     BOOL       # set by: PLC - flag used to login. PC - switches off flag once login is ready.
38.1       operator.operator_do_logout                                    BOOL       # set by: PLC - flag used to logout. PC - switches off flag once logout is ready.
38.2       operator.operator_is_login                                     BOOL       # set by: PLC - flag used to check status. constantly set by PLC. Have value 1 when operator.operator_status is 1. Otherwise have value of 0.
38.3       operator.res1_b3                                               BOOL       # reserve
38.4       operator.res1_b4                                               BOOL       # reserve
38.5       operator.res1_b5                                               BOOL       # reserve
38.6       operator.res1_b6                                               BOOL       # reserve
38.7       operator.res1_b7                                               BOOL       # reserve
39.0       operator.res2_b3                                               BOOL       # reserve
39.1       operator.res2_b4                                               BOOL       # reserve
39.2       operator.res2_b5                                               BOOL       # reserve
39.3       operator.res2_b3                                               BOOL       # reserve
39.4       operator.res2_b4                                               BOOL       # reserve
39.5       operator.res2_b5                                               BOOL       # reserve
39.6       operator.res2_b6                                               BOOL       # reserve
39.7       operator.res2_b7                                               BOOL       # reserve
40.0       operator.res_r3                                                REAL       # reserve
44.0       operator.operator_datetime                                     DATETIME   # date and time from PLC. size is 8 bytes.
# Tracedb_Logowanie - END - size of 52 bytes
# Tracedb_Global_Head - Begin
52.0       head.station_id                                                INT        # station ID
54.0       head_program_number                                            INT        # program number
56.0       head.nest_number                                               INT        # nest number
58.0       head.detail_id                                                 STRING[30] # detail ID
90.0       head.res_i1                                                    INT        # reserve
92.0       head.res_i2                                                    INT        # reserve
94.0       head.res_r3                                                    REAL       # reserve
98.0       head.res_r4                                                    REAL       # reserve
# Tracedb_Global_Head - END - size of 50 bytes.
# Tracedb_Status_Globalny - Begin
102.0      status.res_r1                                                  REAL       # reserve
106.0      ctrl.PLC_trc_on                                                BOOL       # traceability flag. used by PLC to indicate if tracaebility should be switched on.
106.1      ctrl.PLC_live                                                  BOOL       # Controlled by PLC. blinks every 300[ms]. Indicates that PLC is alive
106.2      ctrl.PC_live                                                   BOOL       # Watched by PLC. PC should blink this bit every 300[ms] to notify that application is connected.
106.3      status_save_only_mode                                          BOOL       # 1 - baza zapisuje wyniki ale PLC nie sprawdza czy z poprzedniej stacji OK
106.4      status_no_id_scanning                                          BOOL       # 1 - praca bez skanowania ID detalu.
106.5      status_no_type_verify                                          BOOL       # 1 - praca bez weryfikacji typu / rezerwa
106.6      status_no_scanning                                             BOOL       # 1 - wariant bez skanowania (mimo ze praca ze skanowaniem id detalu)
106.7      status_rez_b7                                                  BOOL       # reserve
107.0      status.PLC_Save                                                BOOL       # PLC_Save bit - monitored by PC, set by PLC. PC saves status if set to True. Once PC finishes it sets it back to False.
107.1      status.PLC_Query                                               BOOL       # PLC_Query bit - monitored by PC, set by PLC. PC reads status from database if set to True. Once PC finishes it sets it back to False.
107.2      status.flag_id_query                                           BOOL       # ID_Query bit - PLC asks PC to set detail_id
107.3      status.PC_Ready                                                BOOL       # PC_Ready bit. Monitored by PLC. PCL waits for True. PC sets to False when it starts processing. PC sets back to True once processing is finished.
107.4      status.flag_id_ready                                           BOOL       # ID_Ready bit - PC indicates that detail_id is already set.
107.5      status.res_b5                                                  BOOL       # reserve
107.6      status.res_b6                                                  BOOL       # reserve
107.7      status.res_b7                                                  BOOL       # reserve
108.0      status.station_number                                          INT        # station_number - used for quering/saving station status. result should be saved in status_database_result
110.0      status.date_time                                               DATETIME   # date and time
118.0      status.station_result                                          INT        # wynik ze stanowiska
120.0      status.database_result                                         INT        # wynik z bazy danych
# Tracedb_Status_Globalny - END - size of 20 bytes. 

# db8xxHeader END - size of 122
# LaserMarking Begin
122.0      LaserMarking.LaserProgramName                                  STRING[20] # Nazwa Programu Lasera
144.0      LaserMarking.id                                                STRING[30] # Wypalane id
176.0      LaserMarking.res1                                              REAL       # reserve
# # Tracedb_Status_lokalny - Begin
180.0      LaserMarking.Status.res_r1                                     REAL       # reserve
184.0      LaserMarking.Status.OperationActive                            BOOL       # 0 - Not Active, 1 - Switched ON
184.1      LaserMarking.Status.res1_b1                                    BOOL       # reserve
184.2      LaserMarking.Status.res1_b2                                    BOOL       # reserve
184.3      LaserMarking.Status.res1_b3                                    BOOL       # reserve
184.4      LaserMarking.Status.res1_b4                                    BOOL       # reserve
184.5      LaserMarking.Status.res1_b5                                    BOOL       # reserve
184.6      LaserMarking.Status.res1_b6                                    BOOL       # reserve
184.7      LaserMarking.Status.res1_b7                                    BOOL       # reserve
185.0      LaserMarking.Status.DatabaseSave                               BOOL       # TODO: check if it's used?
185.1      LaserMarking.Status.res2_b1                                    BOOL       # reserve
185.2      LaserMarking.Status.res2_b2                                    BOOL       # reserve
185.3      LaserMarking.Status.res2_b3                                    BOOL       # reserve
185.4      LaserMarking.Status.res2_b4                                    BOOL       # reserve
185.5      LaserMarking.Status.res2_b5                                    BOOL       # reserve
185.6      LaserMarking.Status.res2_b6                                    BOOL       # reserve
185.7      LaserMarking.Status.res2_b7                                    BOOL       # reserve
186.0      LaserMarking.Status.res_i1                                     INT        # reserve
188.0      LaserMarking.Status.date_time                                  DATETIME   # date and time
196.0      LaserMarking.Status.result                                     INT        # 1 - OK 2 - NOK
198.0      LaserMarking.Status.res_i2                                     INT        # reserve
# # Tracedb_Status_lokalny - END - size of 20 bytes.   
# LaserMarking END - size of 78 bytes
# LaserMarkingVerification Begin
200.0      LaserMarkingVerification.read_id                               STRING[30] # Odczytane id ze skanera DMC
232.0      LaserMarkingVerification.res1                                  REAL       # reserve
# # Tracedb_Status_lokalny - Begin
236.0      LaserMarkingVerification.Status.res_r1                         REAL       # reserve
240.0      LaserMarkingVerification.Status.OperationActive                BOOL       # 0 - Not Active, 1 - Switched ON
240.1      LaserMarkingVerification.Status.res1_b1                        BOOL       # reserve
240.2      LaserMarkingVerification.Status.res1_b2                        BOOL       # reserve
240.3      LaserMarkingVerification.Status.res1_b3                        BOOL       # reserve
240.4      LaserMarkingVerification.Status.res1_b4                        BOOL       # reserve
240.5      LaserMarkingVerification.Status.res1_b5                        BOOL       # reserve
240.6      LaserMarkingVerification.Status.res1_b6                        BOOL       # reserve
240.7      LaserMarkingVerification.Status.res1_b7                        BOOL       # reserve
241.0      LaserMarkingVerification.Status.DatabaseSave                   BOOL       # TODO: check if it's used?
241.1      LaserMarkingVerification.Status.res2_b1                        BOOL       # reserve
241.2      LaserMarkingVerification.Status.res2_b2                        BOOL       # reserve
241.3      LaserMarkingVerification.Status.res2_b3                        BOOL       # reserve
241.4      LaserMarkingVerification.Status.res2_b4                        BOOL       # reserve
241.5      LaserMarkingVerification.Status.res2_b5                        BOOL       # reserve
241.6      LaserMarkingVerification.Status.res2_b6                        BOOL       # reserve
241.7      LaserMarkingVerification.Status.res2_b7                        BOOL       # reserve
242.0      LaserMarkingVerification.Status.res_i1                         INT        # reserve
244.0      LaserMarkingVerification.Status.date_time                      DATETIME   # date and time
252.0      LaserMarkingVerification.Status.result                         INT        # 1 - OK 2 - NOK
254.0      LaserMarkingVerification.Status.res_i2                         INT        # reserve
# # Tracedb_Status_lokalny - END - size of 20 bytes.   
# LaserMarkingVerification END - size of 56 bytes

# Tracedb_laser END - size of 256 bytes
